Level	Rule Name	Subject	Property	Value
WARN	missing_definition	definition	definition	
WARN	missing_definition	root node	definition	
WARN	missing_definition	ISO8601DateTime	definition	
WARN	missing_definition	has textual value	definition	
WARN	missing_definition	has numerical value	definition	
WARN	missing_definition	has temporal value	definition	
WARN	missing_definition	description	definition	
WARN	missing_definition	license	definition	
WARN	missing_definition	title	definition	
INFO	missing_superclass	root node	rdfs:subClassOf	
